registro_id,fecha,lote,pieza,maquina,operario,medida_nominal_mm,medida_real_mm,tolerancia_mm,material,turno
CC-001,01/06/2026,L-01,P-001,Torno-01,Ana,25,24.987,0.04,Acero 1045,Mañana
CC-002,01/06/2026,L-01,P-002,Torno-02,Carlos,40,40.008,0.04,Aluminio 6061,Tarde
CC-003,01/06/2026,L-01,P-003,Centro-CNC-01,Diana,50,50.044,0.06,Bronce SAE 40,Mañana
CC-004,01/06/2026,L-01,P-004,Torno-01,Mateo,75,75.04,0.06,Acero 1045,Tarde
CC-005,01/06/2026,L-01,P-005,Torno-02,Ana,25,24.989,0.04,Aluminio 6061,Mañana
CC-006,01/06/2026,L-01,P-006,Centro-CNC-01,Carlos,40,39.97,0.04,Bronce SAE 40,Tarde
CC-007,02/06/2026,L-01,P-007,Torno-01,Diana,50,50.034,0.06,Acero 1045,Mañana
CC-008,02/06/2026,L-01,P-008,Torno-02,Mateo,75,75.009,0.06,Aluminio 6061,Tarde
CC-009,02/06/2026,L-01,P-009,Centro-CNC-01,Ana,25,25.012,0.04,Bronce SAE 40,Mañana
CC-010,02/06/2026,L-01,P-010,Torno-01,Carlos,40,39.988,0.04,Acero 1045,Tarde
CC-011,02/06/2026,L-01,P-011,Torno-02,Diana,50,50.011,0.06,Aluminio 6061,Mañana
CC-012,02/06/2026,L-01,P-012,Centro-CNC-01,Mateo,75,74.982,0.06,Bronce SAE 40,Tarde
CC-013,03/06/2026,L-02,P-013,Torno-01,Ana,25,24.991,0.04,Acero 1045,Mañana
CC-014,03/06/2026,L-02,P-014,Torno-02,Carlos,40,40.064,0.04,Aluminio 6061,Tarde
CC-015,03/06/2026,L-02,P-015,Centro-CNC-01,Diana,50,49.994,0.06,Bronce SAE 40,Mañana
CC-016,03/06/2026,L-02,P-016,Torno-01,Mateo,75,74.965,0.06,Acero 1045,Tarde
CC-017,03/06/2026,L-02,P-017,Torno-02,Ana,25,24.975,0.04,Aluminio 6061,Mañana
CC-018,03/06/2026,L-02,P-018,Centro-CNC-01,Carlos,40,40.024,0.04,Bronce SAE 40,Tarde
CC-019,04/06/2026,L-02,P-019,Torno-01,Diana,50,50.004,0.06,Acero 1045,Mañana
CC-020,04/06/2026,L-02,P-020,Torno-02,Mateo,75,74.908,0.06,Aluminio 6061,Tarde
